Time Period,Bank credit,Securities in bank credit,Treasury and agency securities,Treasury and agency securities: Mortgage-backed securities (MBS),Treasury and agency securities: Non-MBS,Other securities,Other securities: Mortgage-backed securities,Other securities: Non-MBS,Loans and leases in bank credit,Commercial and industrial loans,Real estate loans,Real estate loans: Residential real estate loans,Real estate loans: Residential real estate loans: Revolving home equity loans,Real estate loans: Residential real estate loans: Closed-end residential loans,Real estate loans: Commercial real estate loans,Real estate loans: Commercial real estate loans: Construction and land development loans,Real estate loans: Commercial real estate loans: Secured by farmland,Real estate loans: Commercial real estate loans: Secured by multifamily properties,Real estate loans: Commercial real estate loans: Secured by nonfarm nonresidential properties,Consumer loans,Consumer loans: Credit cards and other revolving plans,Consumer loans: Other consumer loans,Consumer loans: Other consumer loans: Automobile loans,Consumer loans: Other consumer loans: All other consumer loans,Other loans and leases: All other loans and leases,Other loans and leases: All other loans and leases: Loans to nondepository financial institutions,Other loans and leases: All other loans and leases: Other loans not elsewhere classified,LESS: Allowance for loan and lease losses,Cash assets,Total fed funds sold and securities purchased under agreements to resell,Loans to commercial banks,Other assets,Total assets,Deposits,Large time deposits,Other deposits,Borrowings,Net due to related foreign offices,Other liabilities,Total liabilities,Residual (assets less liabilities)
1947-01,109469.3,82379.3,74124.7,,,8254.5,,,27090.1,11632.8,6805.1,,,,,,,,,4161.2,,,,,,,,,,,,,,,,,,,,,
1947-02,108741.9,81273.4,73208,,,8065.4,,,27468.6,11721,6963.6,,,,,,,,,4296.6,,,,,,,,,,,,,,,,,,,,,
1947-03,108409.5,80565.3,72498.3,,,8067,,,27844.3,11807.3,7123.1,,,,,,,,,4430.6,,,,,,,,,,,,,,,,,,,,,
1947-04,108421.1,80189.4,72226.4,,,7962.9,,,28231.8,11896.5,7287.4,,,,,,,,,4568.7,,,,,,,,,,,,,,,,,,,,,
1947-05,108231,79606.7,71902.1,,,7704.6,,,28624.3,11986.6,7454.2,,,,,,,,,4708.7,,,,,,,,,,,,,,,,,,,,,
1947-06,108035.8,78854.3,71414,,,7440.4,,,29181.4,12078.1,7617.6,,,,,,,,,4846.5,,,,,,,,,,,,,,,,,,,,,
1947-07,108334.5,77749.5,71104.8,,,6644.7,,,30585,12386,7790.3,,,,,,,,,4981.5,,,,,,,,,,,,,,,,,,,,,
1947-08,108805.8,77544.9,70835.5,,,6709.5,,,31260.9,12852.7,7970.9,,,,,,,,,5116.8,,,,,,,,,,,,,,,,,,,,,
1947-09,109875.4,77952.7,71156.5,,,6796.1,,,31922.7,13307.3,8147.2,,,,,,,,,5248.4,,,,,,,,,,,,,,,,,,,,,
1947-10,110521.7,77936.5,71101.5,,,6835,,,32585.2,13766.7,8325.6,,,,,,,,,5381.9,,,,,,,,,,,,,,,,,,,,,
1947-11,110774.5,77541.6,70724.6,,,6817,,,33232.9,14223.3,8502.9,,,,,,,,,5514.2,,,,,,,,,,,,,,,,,,,,,
1947-12,110804.6,76921.3,70083.3,,,6837.9,,,33883.3,14677.1,8678.9,,,,,,,,,5645.6,,,,,,,,,,,,,,,,,,,,,
1948-01,111048.4,76678.3,69821.3,,,6857,,,34370.1,14844.5,8832.8,,,,,,,,,5778.6,,,,,,,,,,,,,,,,,,,,,
1948-02,110344.4,75632,68797.9,,,6834.1,,,34712.4,14821.2,8962.4,,,,,,,,,5903,,,,,,,,,,,,,,,,,,,,,
1948-03,108933.8,73852.7,66888.3,,,6964.4,,,35081.1,14797.1,9091.8,,,,,,,,,6027.2,,,,,,,,,,,,,,,,,,,,,
1948-04,108998.7,73549.2,66528.8,,,7020.4,,,35449.5,14772.9,9225.6,,,,,,,,,6155.9,,,,,,,,,,,,,,,,,,,,,
1948-05,109243.8,73448.2,66459.9,,,6988.3,,,35795.7,14748.7,9357.5,,,,,,,,,6282.2,,,,,,,,,,,,,,,,,,,,,
1948-06,108780.2,72632.2,65647.7,,,6984.5,,,36148.1,14724.7,9489.1,,,,,,,,,6408.7,,,,,,,,,,,,,,,,,,,,,
1948-07,109257.5,72760.1,65718.4,,,7041.8,,,36497.4,14806.7,9602.2,,,,,,,,,6502.5,,,,,,,,,,,,,,,,,,,,,
1948-08,109734.5,72903.3,65805.1,,,7098.2,,,36831.3,14951,9702,,,,,,,,,6574.9,,,,,,,,,,,,,,,,,,,,,
1948-09,108508.5,71348.3,64221,,,7127.3,,,37160.2,15095.4,9801.3,,,,,,,,,6647,,,,,,,,,,,,,,,,,,,,,
1948-10,108579.7,71113.4,64078.1,,,7035.3,,,37466.4,15239.3,9900.7,,,,,,,,,6719.1,,,,,,,,,,,,,,,,,,,,,
1948-11,108814,71043.8,64108.6,,,6935.3,,,37770.2,15382.6,9999.2,,,,,,,,,6790.5,,,,,,,,,,,,,,,,,,,,,
1948-12,108960.5,70874.8,63962.5,,,6912.3,,,38085.7,15522.1,10098.2,,,,,,,,,6863.2,,,,,,,,,,,,,,,,,,,,,
1949-01,109228.1,71066.5,64191.2,,,6875.3,,,38161.7,15370.8,10160.3,,,,,,,,,6930.4,,,,,,,,,,,,,,,,,,,,,
1949-02,108711.9,70618,63713.6,,,6904.4,,,38093.9,15041.3,10195.5,,,,,,,,,6991.1,,,,,,,,,,,,,,,,,,,,,
1949-03,107646.3,69614.7,62650.3,,,6964.5,,,38031.5,14712.8,10230.6,,,,,,,,,7051.4,,,,,,,,,,,,,,,,,,,,,
1949-04,107833.7,69876.1,62895.7,,,6980.4,,,37957.6,14370,10267,,,,,,,,,7114.5,,,,,,,,,,,,,,,,,,,,,
1949-05,108943.4,71053.1,64026.7,,,7026.4,,,37890.3,14031.4,10302.8,,,,,,,,,7176.9,,,,,,,,,,,,,,,,,,,,,
1949-06,109087.3,71255.3,64144.3,,,7111,,,37832,13692.5,10339.8,,,,,,,,,7240.2,,,,,,,,,,,,,,,,,,,,,
1949-07,110492.5,72519.3,65213.9,,,7305.4,,,37973.2,13612.6,10402,,,,,,,,,7348.6,,,,,,,,,,,,,,,,,,,,,
1949-08,112905.2,74682.6,67206,,,7476.5,,,38222.6,13695.3,10480.3,,,,,,,,,7485.7,,,,,,,,,,,,,,,,,,,,,
1949-09,114153,75690.3,68103.7,,,7586.6,,,38462.7,13777.8,10559,,,,,,,,,7623.2,,,,,,,,,,,,,,,,,,,,,
1949-10,115059.9,76375.5,68761.1,,,7614.4,,,38684.4,13859.6,10636.6,,,,,,,,,7758.4,,,,,,,,,,,,,,,,,,,,,
1949-11,115204.2,76303.2,68692.3,,,7610.9,,,38901,13941.6,10714,,,,,,,,,7893.8,,,,,,,,,,,,,,,,,,,,,
1949-12,115497.5,76367.7,68721.1,,,7646.6,,,39129.8,14023.5,10793.7,,,,,,,,,8031.8,,,,,,,,,,,,,,,,,,,,,
1950-01,116529.7,77069.6,69346.5,,,7723.1,,,39460.1,14043.5,10906.4,,,,,,,,,8190.5,,,,,,,,,,,,,,,,,,,,,
1950-02,116430,76589.6,68785.5,,,7804.1,,,39840.5,14022.2,11037.8,,,,,,,,,8356.9,,,,,,,,,,,,,,,,,,,,,
1950-03,115991.7,75744.4,67718.7,,,8025.7,,,40247.2,14000.2,11169.2,,,,,,,,,8523.2,,,,,,,,,,,,,,,,,,,,,
1950-04,115965.1,75309.9,67118.6,,,8191.3,,,40655.3,13978.4,11304.5,,,,,,,,,8694.6,,,,,,,,,,,,,,,,,,,,,
1950-05,116543.5,75509.5,67291.6,,,8217.9,,,41034,13956.8,11438.5,,,,,,,,,8864.7,,,,,,,,,,,,,,,,,,,,,
1950-06,117010.6,75574.1,67286.7,,,8287.4,,,41436.6,13942.2,11575.8,,,,,,,,,9038.6,,,,,,,,,,,,,,,,,,,,,
1950-07,117273.2,74988.8,66534.1,,,8454.7,,,42284.4,14357.7,11742.6,,,,,,,,,9212.6,,,,,,,,,,,,,,,,,,,,,
1950-08,117966,74524.2,65837.2,,,8687,,,43441.8,15061.4,11932.8,,,,,,,,,9392,,,,,,,,,,,,,,,,,,,,,
1950-09,118050.3,73463.7,64556.9,,,8906.8,,,44586.6,15758,12121.4,,,,,,,,,9570.2,,,,,,,,,,,,,,,,,,,,,
1950-10,118643,72956.7,63998.3,,,8958.4,,,45686.4,16447,12307.3,,,,,,,,,9746.2,,,,,,,,,,,,,,,,,,,,,
1950-11,119271.4,72482.3,63513.5,,,8968.8,,,46789.1,17143.4,12495.5,,,,,,,,,9924,,,,,,,,,,,,,,,,,,,,,
1950-12,120493.1,72610.8,63633.8,,,8977,,,47882.3,17833.1,12682.1,,,,,,,,,10099.8,,,,,,,,,,,,,,,,,,,,,
1951-01,120004.3,71414.3,62344.2,,,9070.1,,,48590.1,18251.7,12810.6,,,,,,,,,10186.5,,,,,,,,,,,,,,,,,,,,,
1951-02,119055.2,70051.2,60908.8,,,9142.5,,,49003.9,18476.2,12896.2,,,,,,,,,10212,,,,,,,,,,,,,,,,,,,,,
1951-03,118949.9,69531.7,60312.5,,,9219.2,,,49418.2,18700.8,12982.3,,,,,,,,,10236.5,,,,,,,,,,,,,,,,,,,,,
1951-04,119019.4,69185.3,59928.1,,,9257.2,,,49834.1,18930.3,13069.5,,,,,,,,,10262.4,,,,,,,,,,,,,,,,,,,,,
1951-05,119000.2,68762.4,59539.9,,,9222.4,,,50237.8,19160.7,13157.5,,,,,,,,,10287.8,,,,,,,,,,,,,,,,,,,,,
1951-06,119669.2,69007.8,59738.5,,,9269.3,,,50661.4,19394.2,13246.4,,,,,,,,,10314.1,,,,,,,,,,,,,,,,,,,,,
1951-07,120500.9,69347,59981.8,,,9365.2,,,51153.9,19698.8,13346.2,,,,,,,,,10353.6,,,,,,,,,,,,,,,,,,,,,
1951-08,121395.8,69711.5,60330.5,,,9381.1,,,51684.3,20062.4,13455.1,,,,,,,,,10403.5,,,,,,,,,,,,,,,,,,,,,
1951-09,122594.5,70380,60921.2,,,9458.8,,,52214.5,20416.3,13561.8,,,,,,,,,10452.3,,,,,,,,,,,,,,,,,,,,,
1951-10,124077.9,71343.6,61855.2,,,9488.5,,,52734.2,20769.5,13668.7,,,,,,,,,10500.7,,,,,,,,,,,,,,,,,,,,,
1951-11,125607,72342.7,62816.3,,,9526.4,,,53264.3,21128.9,13776.9,,,,,,,,,10550.1,,,,,,,,,,,,,,,,,,,,,
1951-12,126716.8,72976.4,63295,,,9681.5,,,53740.4,21589.8,13843.7,,,,,,,,,10553.9,,,,,,,,,,,,,,,,,,,,,
1952-01,126875.3,73214.2,63457.5,,,9756.8,,,53661,22315.5,13687.2,,,,,,,,,10344.7,,,,,,,,,,,,,,,,,,,,,
1952-02,126644.9,72825,63001,,,9824,,,53819.9,22361,13687.8,,,,,,,,,10346.5,,,,,,,,,,,,,,,,,,,,,
1952-03,126770.8,72554.8,62611.7,,,9943.1,,,54216,22451.5,13744.1,,,,,,,,,10429.6,,,,,,,,,,,,,,,,,,,,,
1952-04,126793.3,72143,62117.9,,,10025.1,,,54650.3,22149.2,13837.8,,,,,,,,,10567.1,,,,,,,,,,,,,,,,,,,,,
1952-05,127245.4,72215.2,62085.3,,,10129.9,,,55030.2,21754.7,13933.5,,,,,,,,,10795.5,,,,,,,,,,,,,,,,,,,,,
1952-06,128864.6,72809.4,62588.1,,,10221.3,,,56055.2,21914.9,14098,,,,,,,,,11262.1,,,,,,,,,,,,,,,,,,,,,
1952-07,130633.3,74165,63766.1,,,10398.9,,,56468.3,21898.4,14168.1,,,,,,,,,11527.9,,,,,,,,,,,,,,,,,,,,,
1952-08,131019.1,74388.3,63721.7,,,10666.6,,,56630.8,22042.8,14270.5,,,,,,,,,11684.9,,,,,,,,,,,,,,,,,,,,,
1952-09,131105.6,74065.4,63294.6,,,10770.8,,,57040.2,22540.1,14401.5,,,,,,,,,11836.9,,,,,,,,,,,,,,,,,,,,,
1952-10,132853.5,74911.5,64106.6,,,10804.9,,,57942,23155.4,14495.8,,,,,,,,,12094.1,,,,,,,,,,,,,,,,,,,,,
1952-11,135077.5,76233.2,65347.5,,,10885.7,,,58844.3,23676.4,14590.6,,,,,,,,,12298.3,,,,,,,,,,,,,,,,,,,,,
1952-12,135646.5,76259.2,65280.7,,,10978.5,,,59387.2,23831.5,14690.9,,,,,,,,,12523.5,,,,,,,,,,,,,,,,,,,,,
1953-01,134918.8,75576.3,64617.1,,,10959.2,,,59342.5,23652.7,14785.3,,,,,,,,,12737.5,,,,,,,,,,,,,,,,,,,,,
1953-02,134035.4,74631.3,63774.8,,,10856.5,,,59404.1,23538,14875.1,,,,,,,,,12939.2,,,,,,,,,,,,,,,,,,,,,
1953-03,133471.7,73324.1,62474.9,,,10849.2,,,60147.6,23767.3,14914.6,,,,,,,,,13247.8,,,,,,,,,,,,,,,,,,,,,
1953-04,132581.6,71821.7,61017.7,,,10804,,,60759.9,23823.5,14973.4,,,,,,,,,13612.8,,,,,,,,,,,,,,,,,,,,,
1953-05,131859.8,70807.2,60097.1,,,10710.1,,,61052.6,23687.6,15070.9,,,,,,,,,13892.8,,,,,,,,,,,,,,,,,,,,,
1953-06,132289.7,70764.5,60219.4,,,10545.1,,,61525.2,23627.9,15237.2,,,,,,,,,14112.8,,,,,,,,,,,,,,,,,,,,,
1953-07,135712.5,73996.7,63454.9,,,10541.8,,,61715.8,23533,15308.1,,,,,,,,,14199.8,,,,,,,,,,,,,,,,,,,,,
1953-08,137063.8,75290.2,64648,,,10642.1,,,61773.6,23636.2,15355.4,,,,,,,,,14274.2,,,,,,,,,,,,,,,,,,,,,
1953-09,137171.8,75162.2,64480.4,,,10681.8,,,62009.6,23860.6,15450.8,,,,,,,,,14398.7,,,,,,,,,,,,,,,,,,,,,
1953-10,137505.1,75397.6,64723.8,,,10673.8,,,62107.5,24075.2,15546.5,,,,,,,,,14439.9,,,,,,,,,,,,,,,,,,,,,
1953-11,138781.9,76699.2,66009.4,,,10689.8,,,62082.7,24105.7,15641.9,,,,,,,,,14356.9,,,,,,,,,,,,,,,,,,,,,
