Time Period,Bank credit,Securities in bank credit,Treasury and agency securities,Treasury and agency securities: Mortgage-backed securities (MBS),Treasury and agency securities: Non-MBS,Other securities,Other securities: Mortgage-backed securities,Other securities: Non-MBS,Loans and leases in bank credit,Commercial and industrial loans,Real estate loans,Real estate loans: Residential real estate loans,Real estate loans: Residential real estate loans: Revolving home equity loans,Real estate loans: Residential real estate loans: Closed-end residential loans,Real estate loans: Commercial real estate loans,Real estate loans: Commercial real estate loans: Construction and land development loans,Real estate loans: Commercial real estate loans: Secured by farmland,Real estate loans: Commercial real estate loans: Secured by multifamily properties,Real estate loans: Commercial real estate loans: Secured by nonfarm nonresidential properties,Consumer loans,Consumer loans: Credit cards and other revolving plans,Consumer loans: Other consumer loans,Consumer loans: Other consumer loans: Automobile loans,Consumer loans: Other consumer loans: All other consumer loans,Other loans and leases: All other loans and leases,Other loans and leases: All other loans and leases: Loans to nondepository financial institutions,Other loans and leases: All other loans and leases: Other loans not elsewhere classified,LESS: Allowance for loan and lease losses,Cash assets,Total fed funds sold and securities purchased under agreements to resell,Loans to commercial banks,Other assets,Total assets,Deposits,Large time deposits,Other deposits,Borrowings,Net due to related foreign offices,Other liabilities,Total liabilities,Residual (assets less liabilities)
1947-01,109116.7,82379.3,74124.7,,,8254.5,,,26737.5,11289.4,6796,,,,,,,,,4161.2,,,,,,,,,,,,,,,,,,,,,
1947-02,108530.3,81273.4,73208,,,8065.4,,,27257,11517.9,6955.1,,,,,,,,,4296.6,,,,,,,,,,,,,,,,,,,,,
1947-03,108370.6,80565.3,72498.3,,,8067,,,27805.4,11766.7,7124.9,,,,,,,,,4430.6,,,,,,,,,,,,,,,,,,,,,
1947-04,108560.8,80189.4,72226.4,,,7962.9,,,28371.4,12026.9,7296.6,,,,,,,,,4568.7,,,,,,,,,,,,,,,,,,,,,
1947-05,108539,79606.7,71902.1,,,7704.6,,,28932.2,12278.8,7469.9,,,,,,,,,4708.7,,,,,,,,,,,,,,,,,,,,,
1947-06,108459.4,78854.3,71414,,,7440.4,,,29605,12483.2,7636.1,,,,,,,,,4846.5,,,,,,,,,,,,,,,,,,,,,
1947-07,108747.5,77749.5,71104.8,,,6644.7,,,30998,12780,7809.2,,,,,,,,,4981.5,,,,,,,,,,,,,,,,,,,,,
1947-08,109045.3,77544.9,70835.5,,,6709.5,,,31500.4,13082.2,7980.9,,,,,,,,,5116.8,,,,,,,,,,,,,,,,,,,,,
1947-09,109921.9,77952.7,71156.5,,,6796.1,,,31969.2,13352.3,8148.7,,,,,,,,,5248.4,,,,,,,,,,,,,,,,,,,,,
1947-10,110375.5,77936.5,71101.5,,,6835,,,32439,13628.7,8317.4,,,,,,,,,5381.9,,,,,,,,,,,,,,,,,,,,,
