Time Period,Bank credit,Securities in bank credit,Treasury and agency securities,Treasury and agency securities: Mortgage-backed securities (MBS),Treasury and agency securities: Non-MBS,Other securities,Other securities: Mortgage-backed securities,Other securities: Non-MBS,Loans and leases in bank credit,Commercial and industrial loans,Real estate loans,Real estate loans: Residential real estate loans,Real estate loans: Residential real estate loans: Revolving home equity loans,Real estate loans: Residential real estate loans: Closed-end residential loans,Real estate loans: Commercial real estate loans,Real estate loans: Commercial real estate loans: Construction and land development loans,Real estate loans: Commercial real estate loans: Secured by farmland,Real estate loans: Commercial real estate loans: Secured by multifamily properties,Real estate loans: Commercial real estate loans: Secured by nonfarm nonresidential properties,Consumer loans,Consumer loans: Credit cards and other revolving plans,Consumer loans: Other consumer loans,Consumer loans: Other consumer loans: Automobile loans,Consumer loans: Other consumer loans: All other consumer loans,Other loans and leases: All other loans and leases,Other loans and leases: All other loans and leases: Loans to nondepository financial institutions,Other loans and leases: All other loans and leases: Other loans not elsewhere classified,LESS: Allowance for loan and lease losses,Cash assets,Total fed funds sold and securities purchased under agreements to resell,Loans to commercial banks,Other assets,Total assets,Deposits,Large time deposits,Other deposits,Borrowings,Net due to related foreign offices,Other liabilities,Total liabilities,Residual (assets less liabilities)
1985-04,1315539.8,246412.5,152006.2,,,94406.2,,,1069127.4,366414.2,302830.6,,,,,,,,,256485.4,,,,,143397.2,,,18003,174092.3,,20995.6,124990.8,1728959.8,1295537.1,215882.4,1079654.7,220018.9,,85368.2,1574183.4,154776.4
1985-05,1326979.1,248735.5,152860.7,,,95874.9,,,1078243.6,367171.1,306018.7,,,,,,,,,260135.9,,,,,144918,,,18313.1,173905.2,,21624.5,121715.4,1736930.8,1298017.3,214628.5,1083388.8,227581.2,,84644.4,1583141.2,153789.6
1985-06,1338570.4,249814.2,153980.7,,,95833.6,,,1088756.2,365922,309520.4,,,,,,,,,263761.1,,,,,149552.6,,,18722.9,173852.5,,21106.7,123634.6,1755886.4,1315684.3,213703.9,1101980.4,230364.5,,86807.5,1602340.4,153546
1985-07,1345073.2,250285.6,152767.6,,,97518,,,1094787.6,366200.4,313027.2,,,,,,,,,267600.1,,,,,147959.8,,,19416.3,171444.2,,21105,124165.3,1753700,1317150.1,211801.1,1105349,232735.3,,70540.4,1585983.9,167716.1
1985-08,1352429,252247.4,151751.5,,,100495.9,,,1100181.6,365884,316360.4,,,,,,,,,271797.7,,,,,146139.5,,,19854.2,169803.3,,21726.3,120932.6,1756289.6,1320926.2,213851.7,1107074.5,226730.2,,69661.9,1585042.6,171247
1985-09,1365454.8,254587.6,152712.3,,,101875.3,,,1110867.2,367705.8,319644.7,,,,,,,,,275261.3,,,,,148255.4,,,20214.4,176912.6,,21369,121226.9,1779361.1,1336252.5,215926.3,1120326.2,234010.7,,71151.5,1607808.6,171552.5
1985-10,1369611.1,254079,149366.4,,,104712.6,,,1115532.1,367007.3,323672.1,,,,,,,,,277883.5,,,,,146969.2,,,20313.8,178144.8,,21375.8,119187.4,1784642.6,1343638.2,217593.9,1126044.3,233840.5,,78108.7,1621260,163382.6
1985-11,1387440.8,261969.1,150204.3,,,111764.8,,,1125471.7,369013.4,326813,,,,,,,,,280295,,,,,149350.4,,,20845.4,185556.8,,21170.5,120818.9,1824664.1,1362298.3,218269.9,1144028.4,253916.5,,74188.9,1656840.2,167823.9
1985-12,1411911.1,270772.9,147306.8,,,123466.2,,,1141138.2,371526.3,329705,,,,,,,,,284273,,,,,155633.8,,,21196.4,195605.6,,21976.8,123653,1862695.5,1389080.8,221303.5,1167777.3,264564.3,,74453,1694664.9,168030.6
1986-01,1424706.4,278760.9,149341,,,129419.9,,,1145945.5,371352.6,332470,,,,,,,,,285968.1,,,,,156154.8,,,21414.6,181909.9,,21728.4,120568.2,1856233.7,1381450.4,225891.1,1155559.2,269331.9,,61944.8,1682066.6,174167.1
