Time Period,Bank credit,Securities in bank credit,Treasury and agency securities,Treasury and agency securities: Mortgage-backed securities (MBS),Treasury and agency securities: Non-MBS,Other securities,Other securities: Mortgage-backed securities,Other securities: Non-MBS,Loans and leases in bank credit,Commercial and industrial loans,Real estate loans,Real estate loans: Residential real estate loans,Real estate loans: Residential real estate loans: Revolving home equity loans,Real estate loans: Residential real estate loans: Closed-end residential loans,Real estate loans: Commercial real estate loans,Real estate loans: Commercial real estate loans: Construction and land development loans,Real estate loans: Commercial real estate loans: Secured by farmland,Real estate loans: Commercial real estate loans: Secured by multifamily properties,Real estate loans: Commercial real estate loans: Secured by nonfarm nonresidential properties,Consumer loans,Consumer loans: Credit cards and other revolving plans,Consumer loans: Other consumer loans,Consumer loans: Other consumer loans: Automobile loans,Consumer loans: Other consumer loans: All other consumer loans,Other loans and leases: All other loans and leases,Other loans and leases: All other loans and leases: Loans to nondepository financial institutions,Other loans and leases: All other loans and leases: Other loans not elsewhere classified,LESS: Allowance for loan and lease losses,Cash assets,Total fed funds sold and securities purchased under agreements to resell,Loans to commercial banks,Other assets,Total assets,Deposits,Large time deposits,Other deposits,Borrowings,Net due to related foreign offices,Other liabilities,Total liabilities,Residual (assets less liabilities)
1985-04,1316209,247480.6,152501.5,,,94979.1,,,1068728.4,363229,304114.7,,,,,,,,,257768.9,,,,,143615.8,,,18027.7,174570.1,,20480.2,122561,1724383.8,1293111.1,216246.3,1076864.8,215949.5,,83567.8,1565887.6,158496.2
1985-05,1329534.5,251401.7,154342.3,,,97059.4,,,1078132.9,364126,306956.3,,,,,,,,,260964.2,,,,,146086.3,,,18304.6,176264.7,,20888.1,121380.3,1744014.2,1308136,216218.4,1091917.6,223792.8,,83642.4,1588469.6,155544.6
1985-06,1342103.6,254546.4,156938.8,,,97607.6,,,1087557.2,364838.5,309846.6,,,,,,,,,264455.2,,,,,148416.9,,,18724,175475.3,,21041.1,123213,1761980.1,1315876.5,215093.6,1100782.8,230289.4,,86571.9,1602221.8,159758.3
1985-07,1350730.6,253290.2,154410.8,,,98879.4,,,1097440.3,368126,312791.7,,,,,,,,,268211.8,,,,,148310.8,,,19493.5,175687.1,,21345.7,123884.7,1766155.5,1321909.9,214325.4,1107584.5,234417,,71417.1,1593302.2,172853.3
1985-08,1356379.3,252132.5,151873.6,,,100258.9,,,1104246.8,369438.3,315872.6,,,,,,,,,271684,,,,,147251.9,,,19964.5,177302,,22071.1,121530,1772360.7,1329709.6,214839.1,1114870.5,231872.4,,69739.5,1599045.8,173314.9
1985-09,1367761.4,254663.1,152936.3,,,101726.8,,,1113098.3,371867.5,319281.2,,,,,,,,,274406.9,,,,,147542.8,,,20168.8,178257.4,,22010.8,119390.3,1784855.8,1339587.6,216077.2,1123510.4,233351.3,,70300,1609632.8,175223.1
1985-10,1371359.1,254141.8,149997.6,,,104144.2,,,1117217.3,369844.8,322684.3,,,,,,,,,277226.7,,,,,147461.4,,,20425.4,177606.6,,22231.1,115689.8,1784433.6,1345988.6,217614.2,1128374.4,229730.7,,79086.2,1620478.1,163955.5
1985-11,1383401.3,259526.7,149071.4,,,110455.3,,,1123874.6,369885.6,325875.8,,,,,,,,,279696.1,,,,,148417.1,,,20779.6,180205.1,,21684.7,121979.4,1811859.3,1356030.6,218117.4,1137913.2,252050.8,,72631.9,1647149.9,164709.4
1985-12,1401903,268720.6,147899.8,,,120820.8,,,1133182.3,370056.2,328821.2,,,,,,,,,281514.7,,,,,152790.2,,,21155.6,183035,,21701.5,124607.2,1839088.1,1372713.2,220305.8,1152407.3,261952.4,,72237.3,1674456.2,164631.8
1986-01,1420712.3,277247.1,148644.7,,,128602.4,,,1143465.2,371107.2,332043.3,,,,,,,,,284031.9,,,,,156282.8,,,21501.7,174657.8,,21081.5,125599.8,1847423,1371545,224546.2,1146998.8,262386,,64253.2,1667394.9,180028.2
1986-02,1420615.9,276511.5,151140.8,,,125370.6,,,1144104.4,370082.9,335627.5,,,,,,,,,285228.5,,,,,153165.4,,,21829.4,180995.8,,22610.1,119313.6,1847985.5,1373696.4,223887,1149809.4,260566.2,,61321.9,1666597.3,181388.2
1986-03,1430746,274992.1,151890.5,,,123101.6,,,1155753.9,372611.1,339456.6,,,,,,,,,286153.5,,,,,157532.7,,,22223.5,185592.4,,22661.8,121671.2,1870324.1,1388098.2,223072,1165026.1,269456.4,,60832.9,1687366.7,182957.4
1986-04,1439196.5,277195.2,154197.7,,,122997.4,,,1162001.4,373687.6,343322.4,,,,,,,,,287420.1,,,,,157571.2,,,22914.1,186468.5,,22729.1,122569.9,1879115.2,1398424.7,221759.8,1176665,267637.1,,55660.4,1687184.8,191930.4
1986-05,1444949.1,278963.7,156291.4,,,122672.3,,,1165985.4,373783.7,346720.7,,,,,,,,,289173.9,,,,,156307,,,23304.8,187417.1,,23488,120745.8,1881236.2,1408658.5,219528.1,1189130.4,264093.3,,53322.7,1690871.5,190364.7
1986-06,1452276.2,281673.2,158254,,,123419.2,,,1170603,375552.3,349635,,,,,,,,,291314.3,,,,,154101.4,,,23720.3,185955.8,,23780.7,118934.4,1884754.1,1414428.4,218211.7,1196216.7,262716.5,,60887.5,1698856.3,185897.8
1986-07,1470109.6,290418.9,164557.1,,,125861.8,,,1179690.7,376035.2,353613.6,,,,,,,,,294105.5,,,,,155936.4,,,24449,189860.8,,23865.5,116092.6,1906030.1,1428066.5,218692.1,1209374.3,270262.1,,61636.1,1720570.3,185459.9
1986-08,1482712.4,295313.7,165518.8,,,129794.9,,,1187398.7,376698.4,357994.5,,,,,,,,,296515.1,,,,,156190.7,,,24971.2,193337.1,,24676.9,116470.1,1921779.7,1442362.5,219341.3,1223021.2,272826.9,,37777.7,1714708.5,207071.2
1986-09,1495228.7,301387.7,167264.2,,,134123.4,,,1193841,377339.6,362152.1,,,,,,,,,299066.6,,,,,155282.7,,,25142,191499.6,,26103.1,116944.7,1934609,1450732,218916.9,1231815,276062.3,,50549.4,1737958.5,196650.5
1986-10,1495851.9,299725.1,168446,,,131279.1,,,1196126.8,376445.2,365393,,,,,,,,,300549.4,,,,,153739.2,,,25493.3,194503.6,,26016,113259.8,1933451.2,1455413.9,217247.8,1238166.1,270461.4,,52587.5,1739569.9,193881.3
1986-11,1507821.8,302497.1,172876.3,,,129620.8,,,1205324.6,380047.3,369433,,,,,,,,,302314,,,,,153530.3,,,25882,200835.8,,26993,112356.8,1952433.8,1470391.7,216937.1,1253454.7,281313.6,,51628.5,1762666.4,189767.4
1986-12,1533102.5,306480.1,178510.5,,,127969.6,,,1226622.4,390576.4,377770.1,,,,,,,,,304158.7,,,,,154117.3,,,26287.5,201956.1,,27958.6,111259.3,1980105.9,1494290.3,217557.5,1276732.8,288383.9,,53539.2,1793313.1,186792.8
