Time Period,Bank credit,Securities in bank credit,Treasury and agency securities,Treasury and agency securities: Mortgage-backed securities (MBS),Treasury and agency securities: Non-MBS,Other securities,Other securities: Mortgage-backed securities,Other securities: Non-MBS,Loans and leases in bank credit,Commercial and industrial loans,Real estate loans,Real estate loans: Residential real estate loans,Real estate loans: Residential real estate loans: Revolving home equity loans,Real estate loans: Residential real estate loans: Closed-end residential loans,Real estate loans: Commercial real estate loans,Real estate loans: Commercial real estate loans: Construction and land development loans,Real estate loans: Commercial real estate loans: Secured by farmland,Real estate loans: Commercial real estate loans: Secured by multifamily properties,Real estate loans: Commercial real estate loans: Secured by nonfarm nonresidential properties,Consumer loans,Consumer loans: Credit cards and other revolving plans,Consumer loans: Other consumer loans,Consumer loans: Other consumer loans: Automobile loans,Consumer loans: Other consumer loans: All other consumer loans,Other loans and leases: All other loans and leases,Other loans and leases: All other loans and leases: Loans to nondepository financial institutions,Other loans and leases: All other loans and leases: Other loans not elsewhere classified,LESS: Allowance for loan and lease losses,Cash assets,Total fed funds sold and securities purchased under agreements to resell,Loans to commercial banks,Other assets,Total assets,Deposits,Large time deposits,Other deposits,Borrowings,Net due to related foreign offices,Other liabilities,Total liabilities,Residual (assets less liabilities)
1973-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99814,,,,,,,
1973-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99310.8,,,,,,,
1973-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99042.1,,,,,,,
1973-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100328.3,,,,,,,
1973-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100345.8,,,,,,,
1973-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101721.7,,,,,,,
1973-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102122.7,,,,,,,
1973-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101196.1,,,,,,,
1973-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102304,,,,,,,
1973-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104381.9,,,,,,,
1973-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105995,,,,,,,
1973-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107919.6,,,,,,,
1974-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108450.8,,,,,,,
1974-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108913.2,,,,,,,
1974-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109982.9,,,,,,,
1974-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110788.3,,,,,,,
1974-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109344.6,,,,,,,
1974-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110484.2,,,,,,,
1974-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110150,,,,,,,
1974-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109930.6,,,,,,,
1974-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110467.8,,,,,,,
