Time Period,Bank credit,Securities in bank credit,Treasury and agency securities,Treasury and agency securities: Mortgage-backed securities (MBS),Treasury and agency securities: Non-MBS,Other securities,Other securities: Mortgage-backed securities,Other securities: Non-MBS,Loans and leases in bank credit,Commercial and industrial loans,Real estate loans,Real estate loans: Residential real estate loans,Real estate loans: Residential real estate loans: Revolving home equity loans,Real estate loans: Residential real estate loans: Closed-end residential loans,Real estate loans: Commercial real estate loans,Real estate loans: Commercial real estate loans: Construction and land development loans,Real estate loans: Commercial real estate loans: Secured by farmland,Real estate loans: Commercial real estate loans: Secured by multifamily properties,Real estate loans: Commercial real estate loans: Secured by nonfarm nonresidential properties,Consumer loans,Consumer loans: Credit cards and other revolving plans,Consumer loans: Other consumer loans,Consumer loans: Other consumer loans: Automobile loans,Consumer loans: Other consumer loans: All other consumer loans,Other loans and leases: All other loans and leases,Other loans and leases: All other loans and leases: Loans to nondepository financial institutions,Other loans and leases: All other loans and leases: Other loans not elsewhere classified,LESS: Allowance for loan and lease losses,Cash assets,Total fed funds sold and securities purchased under agreements to resell,Loans to commercial banks,Other assets,Total assets,Deposits,Large time deposits,Other deposits,Borrowings,Net due to related foreign offices,Other liabilities,Total liabilities,Residual (assets less liabilities)
1973-01,556864.9,160107.5,89269.7,,,70837.8,,,396757.4,128617.1,98805.3,,,,,,,,,86719.3,,,,,82615.7,,,,79425,,2622.1,27522.8,683481,588153.2,,,42610.7,,16407.5,645949.9,37531
1973-02,561526.5,157458.8,85924.5,,,71534.2,,,404067.8,132267.3,100178,,,,,,,,,87468.8,,,,,84153.8,,,,77918.5,,3117.8,28479.1,689402.1,590084.8,,,44744.5,,17341.5,650888.2,38514
1973-03,571376.3,156906.7,84666.6,,,72240.1,,,414469.6,137459.1,101783.9,,,,,,,,,88503.5,,,,,86723.1,,,,74602.4,,3458.8,28995.5,696450.9,594394.3,,,45064.3,,18405.3,656590.3,39860.6
1973-04,578461.9,157137.9,84696.5,,,72441.4,,,421324,140875.3,103482.2,,,,,,,,,90032.7,,,,,86933.9,,,,76827.5,,3357.5,29815.1,706411.1,604223.7,,,44687.9,,18733.4,666284.1,40127
1973-05,584503.2,155885.7,82465,,,73420.7,,,428617.5,142991.6,105138.9,,,,,,,,,91473,,,,,89014,,,,77833.2,,3268.3,29968.3,712177.4,605828.4,,,47001.2,,19430,671036.5,41140.9
1973-06,592915.5,156419.9,82376.3,,,74043.6,,,436495.6,145827,107185.3,,,,,,,,,92945,,,,,90538.3,,,,77750,,3370.1,30641.3,722474.5,613126.6,,,49178.4,,19707.2,680747.2,41727.2
1973-07,599865.5,155991,81397.4,,,74593.6,,,443874.5,148196,109188.4,,,,,,,,,94496.2,,,,,91993.9,,,,81861.9,,3395.9,30721.8,733236.2,621449.2,,,52065.1,,19244.8,691390.5,41845.7
1973-08,605912.2,156339.6,80547.1,,,75792.5,,,449572.6,149516.6,111156.1,,,,,,,,,96158.2,,,,,92741.7,,,,78555.3,,3388.1,31591.5,737655.9,621992.5,,,52849.7,,20354.6,693868.4,43787.4
1973-09,611393.2,157964.9,81496.4,,,76468.5,,,453428.3,150077,113044.8,,,,,,,,,97106.7,,,,,93199.9,,,,82892.9,,3496.9,32006.3,748409.7,630695.5,,,55230.7,,20538.5,705095.6,43314.1
1973-10,614862.4,159636.5,82665.8,,,76970.7,,,455225.9,150265.7,114605.6,,,,,,,,,97757.4,,,,,92597.2,,,,87881,,3469.3,32335.6,757871.5,638861.9,,,57319.9,,20471.8,715144.2,42727.3
1973-11,620095,162750.8,86775.9,,,75974.9,,,457344.2,150562.5,116115.9,,,,,,,,,98506.6,,,,,92159.2,,,,89759.6,,3718.2,32200.5,766529.1,640294.2,,,63372.9,,21169.5,723538.1,42991
1973-12,630104.6,165409,89147.3,,,76261.7,,,464695.6,153034.9,117278.2,,,,,,,,,98996.9,,,,,95385.6,,,,89082.7,,4072.5,32802.2,779231.4,654426.2,,,62769.2,,21191.3,736906.5,42324.9
1974-01,631458.8,166883.1,90015.3,,,76867.8,,,464575.8,153310.6,118250.2,,,,,,,,,99102.1,,,,,93913,,,,88579.6,,4121.6,31700.3,781139.3,654873.3,,,65237.4,,19373.5,737845,43294.3
1974-02,632457.6,166818.9,89297.1,,,77521.8,,,465638.8,153720.3,119084.2,,,,,,,,,98848.7,,,,,93985.7,,,,90153.1,,3756.4,32569.8,785215.4,653858.9,,,67447.4,,20668.1,740448,44767.3
1974-03,642646.3,168785.3,90177.5,,,78607.8,,,473861.1,159049,120200.8,,,,,,,,,98800.9,,,,,95810.3,,,,87302.5,,3792.2,33646.1,793367.6,657715.4,,,69550.5,,21293.4,746985.8,46381.8
1974-04,655488.2,169013.8,89956.2,,,79057.6,,,486474.4,165860.7,121795.8,,,,,,,,,99676.7,,,,,99141.2,,,,87851.8,,3999.4,34573.3,807119.3,673961.3,,,66841.3,,21078.9,760127.7,46991.6
1974-05,660025,167250.1,86626.1,,,80624,,,492774.9,167912.2,123355.9,,,,,,,,,100595.5,,,,,100911.3,,,,89788,,4101.4,34432.9,810583.4,675581.3,,,66853.2,,21476.5,762245.4,48338
